,Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets count,User
238,-0.4767,,0.806,0.194,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This man reported his 5-year-old-son missing after his ex-partner stopped him seeing him. 

What happened next is u… https://t.co/sIAVUrJxWg",38,BBC
239,0.0,,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbc5live: This was @Rachael_Hodges final podcast recording with @bowelbabe and @GIRLSTOLELONDON - and they're talking ‘About The New No…,39,BBC
240,0.4926,,0.739,0.083,0.178,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","What does the S on Superman's chest stand for? (Hint: It's not Super!) 😂 #QI

https://t.co/9YIvz5nUNV",40,BBC
241,-0.0935,,0.742,0.137,0.121,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Iron-deficiency anaemia is the world's most common nutritional disorder.

Here's how to ensure you get enough iron… https://t.co/susxAfvdNI",41,BBC
242,-0.4588,,0.857,0.143,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A mother who was forced to stand while breastfeeding on a crowded train, has urged people to show ""common courtesy""… https://t.co/7QmDpmiH8G",42,BBC
243,0.4404,,0.725,0.092,0.184,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","You'll never look at University in the same way again... 😂
 #QI

https://t.co/5S0bCZKvZT",43,BBC
244,0.6114,,0.6,0.0,0.4,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Happy birthday @NiallOfficial, never change! 🎈🇮🇪

https://t.co/VjE3e26tb9",44,BBC
245,0.8016,,0.753,0.0,0.247,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCR1: 🎉 Tickets for the #R1TeenAwards are ON SALE NOW! 🎉

Go here for tickets 👉 https://t.co/BsVVX86K4J

Get ready for performances fr…",45,BBC
246,0.7087,,0.595,0.142,0.264,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","It's impossible to watch this without laughing! 😂

A Scottish Granny has gone viral after she REALLY enjoyed readin… https://t.co/rGzHqvqOSj",46,BBC
247,0.3818,,0.822,0.0,0.178,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",These stunning photographs capture life on the coast of Britain. 📷🌊 https://t.co/F4KhfftK5f https://t.co/bIeniftu8e,47,BBC
248,0.8104,,0.527,0.115,0.358,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""I love writing and reading about horrible people. They are much more fun than nice people."" 

Roald Dahl discusses… https://t.co/a1UjqXSvYq",48,BBC
249,0.5994,,0.822,0.0,0.178,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","What happens to your body when you beatbox? 🔊💀

Scientists put beatbox champion @_GraceSavage through an MRI scanne… https://t.co/ltQ78Q0U6g",49,BBC
250,0.0,,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","The coral triangle in south-east Asia is home to more marine species than anywhere else. 

But it’s also home to an… https://t.co/DPrkXRhdzD",50,BBC
251,0.5106,,0.612,0.116,0.272,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Outstanding in their fields: these scarecrows are incredible. 👏🌳 https://t.co/2oQpyhVF8o https://t.co/4sL0xUAFHc,51,BBC
252,0.5719,,0.73,0.0,0.27,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This wonderful woman rehabilitates animals for a living. ❤️️



(Via @BBCThree)


https://t.co/vr8ikmTsbJ",52,BBC
253,0.4688,,0.861,0.0,0.139,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","What a paw-trait! 🐶📸 These photographs prove that dogs really do look like their owners. 

👉 https://t.co/8dARVaIdP9 https://t.co/A39cl3LQgw",53,BBC
254,0.6369,,0.698,0.0,0.302,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎶🏖What it's like raving in a wheelchair on the party island of Ibiza. 

https://t.co/gQmhDNpZx2 https://t.co/jNfX5Go0tT",54,BBC
255,0.6114,,0.826,0.0,0.174,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Think it's impossible to draw a perfect circle? Think again! All you need is a couple of pens and a paperclip... 😲… https://t.co/0BTSrCRZX0,55,BBC
256,0.9136,,0.542,0.0,0.458,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Inspired by actual events, Trust delves into the trials and triumphs of one of America's wealthiest and unhappiest… https://t.co/mwSoUz00kc",56,BBC
